train_loss,val_loss,val_f1,val_acc,test_f1,test_acc
45.67165179550648,8.550501018762589,0.7628739940617737,0.8583569405099151,0.750603308323461,0.8520408163265306
29.555063515901566,9.815248817205429,0.6839230551119999,0.830028328611898,0.6885683138449591,0.8303571428571429
14.129970184527338,11.992066494189203,0.718588742256935,0.8427762039660056,0.7276066311505245,0.8392857142857143
6.805461525917053,13.99971429631114,0.720730542504028,0.8257790368271954,0.7277553355467452,0.8227040816326531
2.8600953760324046,17.348709479148965,0.7328775307002988,0.8385269121813032,0.7265989340439707,0.8290816326530612
2.17821887251921,16.930376259377226,0.722304695925799,0.8243626062322946,0.7411594997917492,0.8341836734693877
1.8606776378583163,19.696519902383443,0.7328261901402127,0.8328611898016998,0.7360004729700202,0.8329081632653061
1.380515524186194,20.25944249582244,0.7328827888529381,0.8356940509915014,0.7360761525952166,0.8341836734693877
0.6890040400903672,20.281409621122293,0.7400908086881826,0.8342776203966006,0.7382934560814796,0.8303571428571429
0.4527618322754279,20.81938407884445,0.7387987344355991,0.8356940509915014,0.7345518882934715,0.8303571428571429
