train_loss,val_loss,val_f1,val_acc,test_f1,test_acc
67.97360397875309,10.01458153128624,0.7090659340659341,0.7960339943342776,0.7259712616940703,0.8150510204081632
49.55492381006479,9.337612234055996,0.7191578043208117,0.839943342776204,0.7098961292484303,0.8380102040816326
29.32243750989437,12.278807456605136,0.7489765930065354,0.839943342776204,0.7384235855542525,0.8316326530612245
16.52266547549516,17.982220537262037,0.6690303314421554,0.8201133144475921,0.7026178635963144,0.8380102040816326
9.021989090135321,17.86300990579184,0.7320376417288206,0.8215297450424929,0.7457046640527365,0.826530612244898
6.772790233953856,20.175709770526737,0.7160796523318415,0.8243626062322946,0.7372808734111485,0.8329081632653061
3.655614579387475,21.659041030856315,0.7150440313111546,0.8130311614730878,0.7451062219159735,0.8290816326530612
2.371820174565073,24.504073058982613,0.6914335664335665,0.8101983002832861,0.7320497267118016,0.8329081632653061
1.338441180269001,25.353004519594833,0.7134334557331243,0.8172804532577904,0.7420615534929165,0.8316326530612245
1.152511604130268,25.482155254576355,0.7149546019336039,0.8172804532577904,0.7396528301886791,0.8316326530612245
