train_loss,val_loss,val_f1,val_acc,test_f1,test_acc
183.19809740781784,19.057593539357185,0.7077525701858443,0.8101983002832861,0.7238981998758536,0.8227040816326531
147.22170410305262,18.937298327684402,0.6937855517633675,0.8271954674220963,0.7098961292484303,0.8380102040816326
107.01422554254532,21.602085519582033,0.738327580102673,0.8101983002832861,0.7344453828828829,0.8035714285714286
66.4953232370317,25.492800060659647,0.710726516634051,0.8101983002832861,0.7325223222989043,0.8214285714285714
42.83482915116474,31.054137750994414,0.7139374537466472,0.8286118980169972,0.7139867122904656,0.8252551020408163
32.5209097804036,29.14747140556574,0.6888621794871794,0.8130311614730878,0.7360004729700202,0.8329081632653061
22.53221631224733,32.44976925617084,0.7079496402877697,0.8045325779036827,0.7366962148661815,0.8188775510204082
17.117834397940896,36.10088454675861,0.7101843418470104,0.8186968838526912,0.7369391025641026,0.8290816326530612
13.405329085653648,41.15314242511522,0.7237700132904396,0.8215297450424929,0.7415050055318515,0.8278061224489796
10.707319959066808,44.00927446514834,0.7223192400514772,0.8229461756373938,0.7341221610248159,0.8252551020408163
